                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.2272,                0.67273,                0.99356,                0.85452,                0.60046,                0.69778,                0.40293,                   1.23,                0.61896,                0.98869,               0.005149,               0.005149,               0.005149
                     51,                 1.2259,                  0.672,                0.99507,                0.85051,                0.60023,                0.69735,                0.40301,                 1.2281,                0.61858,                0.98817,                0.00505,                0.00505,                0.00505
                     52,                 1.2203,                0.66806,                0.99447,                0.85338,                 0.5985,                0.69976,                0.40436,                 1.2263,                 0.6171,                0.98749,               0.004951,               0.004951,               0.004951
                     53,                 1.2179,                0.66605,                0.99332,                0.85816,                0.59908,                0.70394,                0.40599,                 1.2246,                0.61614,                0.98712,               0.004852,               0.004852,               0.004852
                     54,                 1.2194,                0.66642,                0.99299,                0.85604,                0.60122,                0.70435,                0.40684,                 1.2229,                0.61483,                0.98622,               0.004753,               0.004753,               0.004753
                     55,                 1.2127,                0.66084,                0.99049,                0.85401,                0.60316,                 0.7035,                 0.4069,                 1.2213,                0.61364,                 0.9858,               0.004654,               0.004654,               0.004654
                     56,                  1.211,                0.65968,                0.99068,                0.85305,                0.60649,                0.70604,                0.40836,                 1.2198,                0.61231,                0.98542,               0.004555,               0.004555,               0.004555
                     57,                 1.2058,                0.65703,                0.98808,                0.85282,                0.60784,                0.70637,                0.40909,                 1.2182,                0.61131,                0.98494,               0.004456,               0.004456,               0.004456
                     58,                 1.2051,                0.65452,                0.98746,                0.84048,                0.61742,                0.70162,                0.40881,                 1.2168,                0.61009,                0.98438,               0.004357,               0.004357,               0.004357
                     59,                 1.2035,                0.65262,                0.98581,                0.83759,                0.61817,                0.70195,                0.40915,                 1.2155,                0.60869,                 0.9839,               0.004258,               0.004258,               0.004258
                     60,                 1.2015,                0.64974,                0.98733,                0.83859,                0.61722,                0.70793,                0.41047,                 1.2146,                0.60792,                 0.9836,               0.004159,               0.004159,               0.004159
                     61,                 1.1949,                0.64903,                0.98495,                0.84373,                0.61466,                 0.7085,                0.41106,                 1.2135,                0.60702,                0.98334,                0.00406,                0.00406,                0.00406
                     62,                 1.1899,                0.64417,                0.98362,                 0.8436,                0.61707,                0.71025,                0.41153,                 1.2123,                0.60617,                0.98286,               0.003961,               0.003961,               0.003961
                     63,                 1.1931,                0.64409,                0.98282,                0.84307,                0.61684,                0.70939,                0.41163,                 1.2114,                0.60549,                0.98252,               0.003862,               0.003862,               0.003862
                     64,                 1.1862,                0.64128,                0.98105,                0.84184,                0.61735,                0.70699,                0.41119,                 1.2107,                0.60482,                 0.9821,               0.003763,               0.003763,               0.003763
                     65,                 1.1833,                0.63958,                0.98152,                0.84216,                 0.6174,                0.70695,                0.41104,                 1.2098,                0.60376,                0.98179,               0.003664,               0.003664,               0.003664
                     66,                 1.1824,                0.63827,                0.98044,                0.84192,                0.62061,                0.70706,                0.41169,                 1.2092,                0.60313,                0.98156,               0.003565,               0.003565,               0.003565
                     67,                 1.1817,                0.63519,                0.97952,                0.84311,                0.62188,                0.70748,                0.41231,                 1.2084,                0.60249,                0.98131,               0.003466,               0.003466,               0.003466
                     68,                 1.1769,                0.63433,                0.97872,                0.84282,                0.62184,                0.70798,                0.41268,                 1.2074,                0.60144,                0.98103,               0.003367,               0.003367,               0.003367
                     69,                 1.1729,                0.63255,                0.97762,                0.84677,                0.62099,                0.70968,                0.41341,                 1.2066,                 0.6007,                0.98062,               0.003268,               0.003268,               0.003268
                     70,                 1.1712,                0.63011,                0.97693,                0.84718,                0.62192,                0.71074,                0.41457,                 1.2057,                0.60011,                0.98044,               0.003169,               0.003169,               0.003169
                     71,                 1.1682,                0.62681,                0.97468,                0.84669,                0.62005,                0.71032,                0.41448,                 1.2048,                0.59932,                0.98006,                0.00307,                0.00307,                0.00307
                     72,                 1.1666,                0.62603,                0.97518,                0.84862,                0.62051,                0.71156,                0.41481,                 1.2039,                0.59848,                 0.9797,               0.002971,               0.002971,               0.002971
                     73,                 1.1617,                0.62567,                0.97397,                 0.8499,                 0.6208,                0.71324,                0.41551,                 1.2033,                0.59759,                0.97935,               0.002872,               0.002872,               0.002872
                     74,                 1.1558,                0.61823,                0.97165,                0.84633,                0.62107,                0.71338,                 0.4159,                 1.2027,                0.59675,                0.97909,               0.002773,               0.002773,               0.002773
                     75,                  1.151,                0.61409,                0.96973,                0.84339,                0.62404,                0.71416,                0.41648,                 1.2018,                0.59622,                0.97872,               0.002674,               0.002674,               0.002674
                     76,                 1.1567,                0.61556,                0.97042,                0.83977,                0.62586,                0.71565,                0.41711,                 1.2013,                 0.5953,                0.97856,               0.002575,               0.002575,               0.002575
                     77,                 1.1499,                0.61316,                0.96766,                0.84169,                0.62429,                0.71606,                0.41713,                 1.2006,                0.59463,                0.97816,               0.002476,               0.002476,               0.002476
                     78,                 1.1492,                 0.6115,                0.96768,                0.84275,                  0.624,                 0.7168,                0.41785,                 1.1996,                0.59363,                0.97778,               0.002377,               0.002377,               0.002377
                     79,                 1.1419,                0.60919,                0.96688,                0.84068,                0.62509,                 0.7169,                0.41813,                 1.1992,                0.59305,                0.97766,               0.002278,               0.002278,               0.002278
                     80,                 1.1403,                0.60702,                0.96512,                 0.8385,                0.62587,                0.71715,                0.41844,                 1.1981,                0.59223,                0.97741,               0.002179,               0.002179,               0.002179
                     81,                  1.136,                0.60407,                0.96383,                0.83812,                 0.6267,                0.71728,                 0.4183,                 1.1975,                0.59194,                0.97725,                0.00208,                0.00208,                0.00208
                     82,                 1.1337,                0.60181,                0.96386,                 0.8377,                 0.6276,                0.71774,                0.41874,                 1.1971,                0.59154,                0.97698,               0.001981,               0.001981,               0.001981
                     83,                 1.1346,                0.60224,                0.96344,                0.83834,                0.62766,                0.71762,                0.41952,                 1.1964,                0.59073,                0.97671,               0.001882,               0.001882,               0.001882
                     84,                 1.1283,                0.59848,                 0.9624,                0.83722,                0.62737,                0.71713,                0.41967,                 1.1956,                0.59005,                0.97639,               0.001783,               0.001783,               0.001783
                     85,                  1.126,                0.59525,                0.96107,                0.83734,                0.62783,                0.71777,                 0.4201,                 1.1949,                0.58927,                0.97604,               0.001684,               0.001684,               0.001684
                     86,                 1.1214,                0.59403,                0.96107,                0.84312,                0.62547,                 0.7184,                0.42032,                 1.1942,                0.58856,                0.97573,               0.001585,               0.001585,               0.001585
                     87,                 1.1231,                0.59381,                0.95957,                0.84643,                0.62338,                0.71913,                0.42068,                 1.1937,                  0.588,                0.97545,               0.001486,               0.001486,               0.001486
                     88,                 1.1169,                 0.5902,                0.95855,                0.84843,                0.62219,                0.71869,                0.42155,                  1.193,                0.58721,                0.97514,               0.001387,               0.001387,               0.001387
                     89,                 1.1091,                0.58718,                0.95774,                 0.8516,                0.62077,                 0.7189,                0.42153,                 1.1923,                0.58671,                0.97489,               0.001288,               0.001288,               0.001288
                     90,                 1.1148,                0.58652,                 0.9576,                0.85344,                0.61953,                0.72037,                0.42208,                 1.1916,                0.58599,                0.97455,               0.001189,               0.001189,               0.001189
                     91,                  1.116,                0.56777,                0.96044,                0.85683,                0.61847,                0.72001,                0.42242,                 1.1906,                0.58519,                0.97408,                0.00109,                0.00109,                0.00109
                     92,                 1.1049,                0.55975,                0.95686,                0.85959,                0.61864,                0.72122,                0.42294,                 1.1899,                0.58444,                0.97381,               0.000991,               0.000991,               0.000991
                     93,                  1.098,                0.55526,                0.95423,                0.86184,                0.61824,                0.72094,                0.42353,                  1.189,                0.58382,                0.97344,               0.000892,               0.000892,               0.000892
                     94,                  1.092,                0.55175,                0.95211,                0.86247,                0.61815,                 0.7218,                0.42415,                  1.188,                0.58289,                0.97305,               0.000793,               0.000793,               0.000793
                     95,                 1.0857,                0.54918,                0.95081,                0.86098,                0.61995,                0.72616,                0.42762,                 1.1868,                0.58195,                0.97265,               0.000694,               0.000694,               0.000694
                     96,                 1.0825,                0.54533,                0.95064,                0.85674,                 0.6244,                0.72725,                0.42776,                 1.1861,                0.58106,                0.97238,               0.000595,               0.000595,               0.000595
                     97,                 1.0778,                 0.5426,                0.94846,                0.85715,                0.62541,                0.72766,                0.42821,                 1.1849,                 0.5803,                0.97194,               0.000496,               0.000496,               0.000496
                     98,                 1.0713,                0.53929,                0.94593,                0.85349,                0.62965,                0.72817,                 0.4286,                 1.1841,                0.57939,                0.97164,               0.000397,               0.000397,               0.000397
                     99,                 1.0685,                0.53763,                0.94566,                0.85535,                 0.6299,                0.72906,                0.42913,                 1.1831,                0.57883,                0.97127,               0.000298,               0.000298,               0.000298
                    100,                  1.065,                0.53491,                0.94422,                0.85495,                0.63039,                0.72973,                0.42977,                 1.1823,                0.57825,                0.97097,               0.000199,               0.000199,               0.000199
