                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.88079,                0.43993,                0.90884,                0.88329,                0.72129,                0.81339,                0.50642,                  1.034,                0.46511,                0.95948,               0.002971,               0.002971,               0.002971
                     73,                 0.8753,                0.43655,                0.90912,                0.88367,                 0.7227,                0.81472,                0.50785,                 1.0327,                0.46455,                0.95897,               0.002872,               0.002872,               0.002872
                     74,                0.86867,                0.43464,                0.90796,                0.88462,                0.72308,                0.81598,                0.50846,                 1.0312,                0.46322,                0.95858,               0.002773,               0.002773,               0.002773
                     75,                0.86282,                0.42967,                0.90551,                0.88367,                0.72299,                0.81579,                0.50903,                 1.0299,                 0.4625,                0.95809,               0.002674,               0.002674,               0.002674
                     76,                0.85937,                0.42808,                0.90316,                0.88445,                0.72264,                0.81624,                0.50996,                 1.0284,                0.46168,                0.95756,               0.002575,               0.002575,               0.002575
                     77,                0.85795,                0.42669,                0.90265,                0.88642,                 0.7221,                  0.816,                0.50948,                 1.0269,                0.46097,                0.95707,               0.002476,               0.002476,               0.002476
                     78,                0.85412,                0.42473,                0.90337,                0.88666,                0.72116,                0.81655,                 0.5109,                 1.0254,                0.46019,                0.95671,               0.002377,               0.002377,               0.002377
                     79,                0.84758,                 0.4206,                0.90088,                0.88361,                0.72324,                0.81684,                 0.5118,                 1.0238,                 0.4592,                 0.9562,               0.002278,               0.002278,               0.002278
                     80,                0.84321,                0.41965,                0.89986,                0.88352,                0.72362,                0.81691,                0.51196,                 1.0224,                 0.4583,                0.95583,               0.002179,               0.002179,               0.002179
                     81,                0.84004,                0.41873,                0.89897,                0.88206,                0.72523,                0.81775,                0.51342,                 1.0207,                0.45768,                 0.9554,                0.00208,                0.00208,                0.00208
                     82,                 0.8344,                 0.4154,                0.89791,                0.88282,                0.72591,                0.81678,                0.51354,                  1.019,                0.45695,                0.95506,               0.001981,               0.001981,               0.001981
                     83,                0.83356,                0.41369,                0.89756,                0.88202,                0.72661,                0.81778,                0.51345,                 1.0175,                 0.4561,                0.95473,               0.001882,               0.001882,               0.001882
                     84,                0.82676,                   0.41,                0.89449,                0.87975,                0.72863,                0.81804,                0.51554,                 1.0164,                0.45495,                0.95427,               0.001783,               0.001783,               0.001783
                     85,                0.82465,                0.40917,                 0.8944,                0.87886,                0.73098,                0.80798,                0.51462,                  1.015,                0.45429,                0.95393,               0.001684,               0.001684,               0.001684
                     86,                0.81391,                 0.4055,                0.89359,                0.87858,                0.73187,                0.80844,                0.51499,                 1.0141,                 0.4536,                0.95371,               0.001585,               0.001585,               0.001585
                     87,                0.81516,                0.40509,                0.89101,                0.87696,                0.73188,                0.80776,                 0.5153,                 1.0126,                0.45277,                0.95344,               0.001486,               0.001486,               0.001486
                     88,                0.80836,                 0.4019,                0.89014,                0.87734,                0.73209,                0.80797,                0.51591,                 1.0111,                0.45138,                0.95313,               0.001387,               0.001387,               0.001387
                     89,                0.80459,                0.39923,                0.89129,                0.87909,                0.73178,                0.80849,                0.51662,                 1.0095,                0.45061,                0.95275,               0.001288,               0.001288,               0.001288
                     90,                0.79702,                0.39709,                0.88693,                0.88001,                0.73175,                0.80937,                0.51736,                 1.0079,                0.45009,                0.95237,               0.001189,               0.001189,               0.001189
                     91,                0.83019,                0.39466,                0.89675,                0.87964,                0.73267,                0.80981,                0.51788,                 1.0072,                0.44988,                0.95217,                0.00109,                0.00109,                0.00109
                     92,                0.80966,                0.38472,                0.88968,                0.88173,                0.73056,                0.80973,                0.51864,                 1.0063,                0.44927,                0.95209,               0.000991,               0.000991,               0.000991
                     93,                0.79798,                0.38069,                0.88717,                 0.8815,                0.73136,                0.81054,                0.51856,                 1.0053,                0.44818,                0.95166,               0.000892,               0.000892,               0.000892
                     94,                0.79138,                0.37805,                0.88573,                 0.8822,                0.73094,                0.81125,                0.51956,                  1.004,                0.44762,                0.95137,               0.000793,               0.000793,               0.000793
                     95,                 0.7846,                0.37438,                0.88233,                0.87942,                0.73363,                0.81195,                0.52003,                 1.0027,                 0.4471,                0.95103,               0.000694,               0.000694,               0.000694
                     96,                0.77899,                0.37142,                0.88076,                0.88111,                0.73332,                0.81235,                0.52114,                 1.0016,                0.44655,                0.95077,               0.000595,               0.000595,               0.000595
                     97,                0.77062,                0.36814,                0.87898,                0.88374,                0.73184,                0.81348,                0.52225,                 1.0004,                0.44585,                0.95059,               0.000496,               0.000496,               0.000496
                     98,                0.76797,                0.36599,                0.87811,                0.88509,                0.73138,                 0.8144,                0.52674,                0.99942,                 0.4453,                0.95032,               0.000397,               0.000397,               0.000397
                     99,                0.76328,                0.36354,                0.87721,                0.88291,                0.73202,                0.81594,                0.52754,                0.99839,                0.44448,                0.95006,               0.000298,               0.000298,               0.000298
                    100,                0.76028,                0.36236,                0.87645,                0.88456,                0.73227,                0.81686,                0.52814,                0.99715,                 0.4438,                0.94982,               0.000199,               0.000199,               0.000199
