                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.39055,                0.23279,                 0.8218,                0.84522,                0.59575,                0.66294,                0.39052,                 1.1948,                0.56102,                 1.0297,               0.003664,               0.003664,               0.003664
                     66,                 0.3887,                0.23148,                0.82079,                0.84311,                0.59728,                0.66262,                0.39122,                 1.1936,                0.56014,                 1.0291,               0.003565,               0.003565,               0.003565
                     67,                0.38042,                0.22722,                0.81989,                0.84507,                0.59646,                 0.6635,                0.39164,                 1.1925,                 0.5596,                 1.0287,               0.003466,               0.003466,               0.003466
                     68,                0.37854,                0.22563,                0.81903,                0.84548,                0.59691,                0.66361,                0.39264,                 1.1913,                0.55887,                  1.028,               0.003367,               0.003367,               0.003367
                     69,                0.37693,                0.22449,                0.81886,                0.84718,                0.59463,                 0.6637,                0.39297,                   1.19,                0.55783,                 1.0275,               0.003268,               0.003268,               0.003268
                     70,                0.37785,                0.22416,                0.81983,                0.84805,                0.59508,                 0.6646,                0.39389,                 1.1888,                0.55713,                 1.0272,               0.003169,               0.003169,               0.003169
                     71,                0.37415,                0.22259,                0.81799,                0.84509,                0.59794,                0.66629,                 0.3948,                 1.1877,                0.55616,                 1.0267,                0.00307,                0.00307,                0.00307
                     72,                 0.3706,                0.22028,                0.81656,                0.84548,                0.59879,                0.66714,                0.39582,                 1.1864,                0.55517,                 1.0261,               0.002971,               0.002971,               0.002971
                     73,                0.37102,                0.21944,                0.81767,                 0.8451,                0.59794,                0.66743,                0.39646,                 1.1853,                0.55427,                 1.0258,               0.002872,               0.002872,               0.002872
                     74,                0.36601,                 0.2171,                0.81714,                0.84501,                0.59873,                0.66867,                0.39692,                 1.1842,                0.55319,                 1.0253,               0.002773,               0.002773,               0.002773
                     75,                0.36516,                0.21586,                0.81584,                0.84743,                0.59965,                0.66969,                0.39792,                 1.1831,                0.55243,                 1.0249,               0.002674,               0.002674,               0.002674
                     76,                0.36585,                0.21622,                0.81652,                0.84725,                0.60067,                0.66994,                0.39862,                 1.1824,                0.55158,                 1.0245,               0.002575,               0.002575,               0.002575
                     77,                0.35849,                0.21191,                0.81451,                  0.848,                 0.5998,                0.67067,                0.39876,                 1.1811,                0.55065,                 1.0241,               0.002476,               0.002476,               0.002476
                     78,                0.35529,                0.21106,                0.81437,                0.84728,                0.60288,                0.67054,                 0.3996,                 1.1799,                0.54978,                 1.0235,               0.002377,               0.002377,               0.002377
                     79,                0.35464,                 0.2092,                 0.8138,                 0.8429,                0.60472,                0.67076,                0.40022,                 1.1789,                 0.5489,                  1.023,               0.002278,               0.002278,               0.002278
                     80,                0.35166,                0.20682,                0.81331,                0.84643,                0.60357,                0.67132,                0.40092,                 1.1776,                0.54802,                 1.0224,               0.002179,               0.002179,               0.002179
                     81,                0.34877,                0.20465,                0.81196,                0.84414,                0.60408,                 0.6715,                0.40126,                 1.1764,                 0.5471,                 1.0218,                0.00208,                0.00208,                0.00208
                     82,                0.34381,                0.20239,                0.81188,                0.84278,                0.60462,                0.67212,                0.40164,                 1.1751,                0.54587,                 1.0213,               0.001981,               0.001981,               0.001981
                     83,                0.34361,                0.20218,                0.81167,                0.84328,                0.60549,                0.67299,                0.40245,                  1.174,                0.54486,                 1.0208,               0.001882,               0.001882,               0.001882
                     84,                0.34046,                0.20022,                0.81125,                0.84301,                0.60627,                0.67369,                0.40301,                 1.1726,                0.54406,                 1.0203,               0.001783,               0.001783,               0.001783
                     85,                0.33854,                0.19879,                0.81033,                0.84247,                0.60563,                0.67415,                0.40335,                 1.1715,                0.54295,                 1.0197,               0.001684,               0.001684,               0.001684
                     86,                0.33171,                0.19504,                 0.8084,                0.84279,                0.60496,                0.67451,                0.40378,                   1.17,                 0.5418,                 1.0191,               0.001585,               0.001585,               0.001585
                     87,                0.33306,                0.19489,                0.80922,                0.84605,                0.60512,                0.67522,                 0.4043,                 1.1687,                0.54083,                 1.0184,               0.001486,               0.001486,               0.001486
                     88,                0.33434,                0.19532,                0.80946,                0.84645,                0.60526,                0.67588,                0.40515,                 1.1674,                0.54002,                 1.0179,               0.001387,               0.001387,               0.001387
                     89,                0.32668,                 0.1912,                0.80902,                0.85092,                0.60346,                0.67617,                0.40575,                  1.166,                0.53878,                 1.0173,               0.001288,               0.001288,               0.001288
                     90,                0.32506,                0.18949,                0.80778,                0.85314,                0.60324,                0.67695,                0.40647,                 1.1648,                 0.5379,                 1.0168,               0.001189,               0.001189,               0.001189
                     91,                 1.0172,                0.48482,                0.97218,                0.85645,                0.60256,                0.67727,                0.40711,                 1.1633,                0.53667,                 1.0162,                0.00109,                0.00109,                0.00109
                     92,                0.98621,                0.46793,                0.96166,                0.85326,                 0.6059,                0.67863,                0.40777,                 1.1615,                0.53549,                 1.0154,               0.000991,               0.000991,               0.000991
                     93,                0.96985,                0.45938,                0.95717,                0.85312,                0.60733,                0.67906,                0.40901,                 1.1597,                0.53403,                 1.0148,               0.000892,               0.000892,               0.000892
                     94,                0.95627,                0.45156,                0.94867,                0.84834,                0.61118,                0.67993,                0.40992,                 1.1579,                0.53263,                  1.014,               0.000793,               0.000793,               0.000793
                     95,                0.94213,                0.44509,                0.94498,                0.85042,                0.61167,                0.68101,                0.41162,                 1.1557,                 0.5309,                 1.0133,               0.000694,               0.000694,               0.000694
                     96,                0.93043,                0.44053,                0.94155,                0.85506,                0.61053,                0.68198,                0.41287,                 1.1537,                 0.5296,                 1.0127,               0.000595,               0.000595,               0.000595
                     97,                 0.9192,                0.43278,                0.93744,                0.85861,                0.61141,                0.68812,                 0.4151,                 1.1517,                0.52778,                 1.0119,               0.000496,               0.000496,               0.000496
                     98,                0.91013,                0.42833,                0.93416,                0.86169,                 0.6107,                0.68863,                0.41581,                 1.1495,                0.52633,                 1.0111,               0.000397,               0.000397,               0.000397
                     99,                 0.9004,                 0.4238,                0.93284,                0.86543,                0.61158,                0.68952,                0.41656,                 1.1475,                0.52498,                 1.0104,               0.000298,               0.000298,               0.000298
                    100,                0.89337,                0.42095,                0.93048,                0.86413,                0.61343,                0.69271,                0.41839,                 1.1455,                0.52352,                 1.0096,               0.000199,               0.000199,               0.000199
